dataset,N,K,S1,S2,Nc_type,alpha,model_type,splitmerge,noc,maxiter_gibbs,maxiter_eta0,maxiter_alpha,exp_name_list,n_exp
synthetic,100,2,5,5,balanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:03.503171', 'synthetic_2023-09-27 22:45:53.662649', 'synthetic_2023-09-27 20:45:20.878311', 'synthetic_2023-09-27 22:45:11.140418', 'synthetic_2023-09-27 20:45:06.918069', 'synthetic_2023-09-27 20:45:41.875937', 'synthetic_2023-09-27 20:44:34.549895', 'synthetic_2023-09-27 22:45:48.439019', 'synthetic_2023-09-27 20:44:47.498121', 'synthetic_2023-09-27 22:44:41.356133']",10
synthetic,100,2,5,5,balanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:34.549297', 'synthetic_2023-09-27 22:45:03.507247', 'synthetic_2023-09-27 20:44:55.062135', 'synthetic_2023-09-27 20:45:25.879428', 'synthetic_2023-09-27 20:45:43.694040', 'synthetic_2023-09-27 22:45:48.660754', 'synthetic_2023-09-27 22:45:11.156898', 'synthetic_2023-09-27 22:45:28.570723', 'synthetic_2023-09-27 22:44:44.292837', 'synthetic_2023-09-27 20:45:08.344918']",10
synthetic,100,5,5,5,unbalanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:12.506552', 'synthetic_2023-09-27 22:44:43.136683', 'synthetic_2023-09-27 22:45:51.014632', 'synthetic_2023-09-27 22:45:33.400304', 'synthetic_2023-09-27 20:45:52.468446', 'synthetic_2023-09-27 22:44:57.958345', 'synthetic_2023-09-27 22:45:21.812084', 'synthetic_2023-09-27 20:45:15.522436', 'synthetic_2023-09-27 20:45:01.287608', 'synthetic_2023-09-27 20:45:31.710146']",10
synthetic,100,5,5,5,balanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:43.529606', 'synthetic_2023-09-27 20:44:40.315433', 'synthetic_2023-09-27 22:44:43.142924', 'synthetic_2023-09-27 20:45:31.710018', 'synthetic_2023-09-27 20:45:15.523051', 'synthetic_2023-09-27 20:45:01.291300', 'synthetic_2023-09-27 22:44:57.267811', 'synthetic_2023-09-27 22:45:32.362188', 'synthetic_2023-09-27 22:45:53.664952', 'synthetic_2023-09-27 22:45:15.281645']",10
synthetic,100,5,5,5,balanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:12.512369', 'synthetic_2023-09-27 20:45:46.616962', 'synthetic_2023-09-27 22:45:51.203064', 'synthetic_2023-09-27 22:45:53.005944', 'synthetic_2023-09-27 20:45:17.544295', 'synthetic_2023-09-27 22:44:43.139402', 'synthetic_2023-09-27 20:45:01.279376', 'synthetic_2023-09-27 22:45:15.577820', 'synthetic_2023-09-27 20:45:31.718707', 'synthetic_2023-09-27 22:44:55.845382']",10
synthetic,100,10,5,5,balanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:49.457921', 'synthetic_2023-09-27 22:45:55.168652', 'synthetic_2023-09-27 20:45:13.324439', 'synthetic_2023-09-27 22:45:33.329999', 'synthetic_2023-09-27 22:44:44.914840', 'synthetic_2023-09-27 22:45:00.116566', 'synthetic_2023-09-27 20:45:32.635403', 'synthetic_2023-09-27 20:44:50.166541', 'synthetic_2023-09-27 20:45:01.625894', 'synthetic_2023-09-27 22:45:17.213733']",10
synthetic,100,2,5,5,unbalanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:48.694991', 'synthetic_2023-09-27 22:45:11.142459', 'synthetic_2023-09-27 20:44:53.250084', 'synthetic_2023-09-27 22:45:28.574085', 'synthetic_2023-09-27 22:45:03.508030', 'synthetic_2023-09-27 20:45:25.788112', 'synthetic_2023-09-27 20:45:52.718648', 'synthetic_2023-09-27 22:44:44.289206', 'synthetic_2023-09-27 20:45:08.342069', 'synthetic_2023-09-27 20:44:40.304991']",10
synthetic,100,2,5,5,balanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:24.142232', 'synthetic_2023-09-27 20:45:41.887077', 'synthetic_2023-09-27 20:44:47.498313', 'synthetic_2023-09-27 22:45:15.414115', 'synthetic_2023-09-27 20:45:33.989813', 'synthetic_2023-09-27 20:44:29.315988', 'synthetic_2023-09-27 22:44:41.354578', 'synthetic_2023-09-27 20:45:06.918927', 'synthetic_2023-09-27 22:45:03.512474', 'synthetic_2023-09-27 22:45:53.154808']",10
synthetic,100,10,5,5,balanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:12.340038', 'synthetic_2023-09-27 22:44:46.587892', 'synthetic_2023-09-27 22:46:08.559580', 'synthetic_2023-09-27 20:45:33.459670', 'synthetic_2023-09-27 20:45:19.673998', 'synthetic_2023-09-27 22:45:19.300077', 'synthetic_2023-09-27 20:45:00.130556', 'synthetic_2023-09-27 20:45:51.658185', 'synthetic_2023-09-27 22:45:34.586311', 'synthetic_2023-09-27 20:44:50.156198']",10
synthetic,100,2,5,5,unbalanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:03.499243', 'synthetic_2023-09-27 22:45:28.571929', 'synthetic_2023-09-27 22:45:15.280656', 'synthetic_2023-09-27 20:45:26.009318', 'synthetic_2023-09-27 20:45:08.343553', 'synthetic_2023-09-27 22:45:48.540073', 'synthetic_2023-09-27 20:44:34.542530', 'synthetic_2023-09-27 20:44:55.063311', 'synthetic_2023-09-27 20:45:43.526741', 'synthetic_2023-09-27 22:44:44.284567']",10
synthetic,100,10,5,5,balanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:54.547078', 'synthetic_2023-09-27 20:45:52.713366', 'synthetic_2023-09-27 20:45:19.964148', 'synthetic_2023-09-27 20:44:43.769269', 'synthetic_2023-09-27 20:44:59.606778', 'synthetic_2023-09-27 22:44:46.607164', 'synthetic_2023-09-27 22:45:53.007031', 'synthetic_2023-09-27 22:45:04.227904', 'synthetic_2023-09-27 20:45:38.469541', 'synthetic_2023-09-27 22:45:21.140826']",10
synthetic,100,10,5,5,balanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:33.460659', 'synthetic_2023-09-27 20:45:02.069334', 'synthetic_2023-09-27 20:44:50.159663', 'synthetic_2023-09-27 22:45:53.004847', 'synthetic_2023-09-27 22:44:46.587147', 'synthetic_2023-09-27 22:45:19.300431', 'synthetic_2023-09-27 20:45:52.422023', 'synthetic_2023-09-27 20:45:20.104716', 'synthetic_2023-09-27 22:45:54.566601', 'synthetic_2023-09-27 22:45:01.291125']",10
synthetic,100,5,5,5,balanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:33.403157', 'synthetic_2023-09-27 20:45:01.294142', 'synthetic_2023-09-27 22:44:57.959641', 'synthetic_2023-09-27 20:45:44.232132', 'synthetic_2023-09-27 22:45:51.199529', 'synthetic_2023-09-27 22:44:43.122571', 'synthetic_2023-09-27 20:45:12.507300', 'synthetic_2023-09-27 20:45:12.171083', 'synthetic_2023-09-27 22:45:17.002661', 'synthetic_2023-09-27 20:45:31.723229']",10
synthetic,100,5,5,5,unbalanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:33.990426', 'synthetic_2023-09-27 22:45:51.201113', 'synthetic_2023-09-27 20:45:12.506538', 'synthetic_2023-09-27 22:45:33.399329', 'synthetic_2023-09-27 22:44:43.124683', 'synthetic_2023-09-27 20:45:50.106201', 'synthetic_2023-09-27 22:44:57.957684', 'synthetic_2023-09-27 22:45:19.293559', 'synthetic_2023-09-27 20:45:01.291036', 'synthetic_2023-09-27 20:45:15.523728']",10
synthetic,100,10,5,5,unbalanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:23.971716', 'synthetic_2023-09-27 22:44:48.284305', 'synthetic_2023-09-27 22:45:57.350632', 'synthetic_2023-09-27 20:45:51.532007', 'synthetic_2023-09-27 22:45:53.663771', 'synthetic_2023-09-27 20:45:36.739865', 'synthetic_2023-09-27 20:45:19.282300', 'synthetic_2023-09-27 20:44:46.319037', 'synthetic_2023-09-27 22:45:04.963946', 'synthetic_2023-09-27 20:45:03.739336']",10
